"","X.2","X.1","X","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type"
"23","23","23",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2004","24976197.6267742","2849073.08379609","218952069.513261","17.0334338343732","1.10763748002927","index"
"24","24","24",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2005","458451.790925197","50411.9210509149","4169213.15873374","13.0356104199492","1.12636124055531","index"
"25","25","25",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2006","537162.509255353","43403.4174972483","6647945.66851332","13.1940559520211","1.28357587726131","index"
"26","26","26",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2007","380673.478590311","50613.4926111627","2863115.93660082","12.8496972750905","1.02946983663036","index"
"27","27","27",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2008","1094481.42015779","35435.7751906077","33804525.8676354","13.9057912201571","1.75019238098218","index"
"28","28","28",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2009","526106.183301125","62158.1263472327","4452961.05872728","13.1732583407407","1.08972487016069","index"
"29","29","29",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2010","913677.45203187","111782.543075487","7468129.31056417","13.725232891033","1.07191878234489","index"
"30","30","30",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2011","47864849.0363121","3319981.72095414","690077225.066924","17.6838919524103","1.36146487298628","index"
"31","31","31",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2012","119460.294786667","11399.6488723577","1251859.78886786","11.6907393339433","1.19869626137888","index"
"32","32","32",NA,"CA","yellowtail rockfish","yellowtail_rockfish","35.5",NA,"425","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_10","2013","2597142.79569111","120736.010187301","55866933.9060178","14.769922473997","1.56562099664112","index"
