"","srvy","common_name","file_name","filter_lat_gt","filter_lat_lt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","term","estimate","std.error","conf.low","conf.high"
"1","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","range","0.394496669315006","0.439218064041777","0.0444986554405769","3.49735560681057"
"2","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","sigma_O","2.67266962961243","2.39581343608259","0.461230377258744","15.4871910031316"
"3","CA","bocaccio","bocaccio",NA,NA,"500","total_catch_wt_kg ~ 0 + factor(year) + pass","delta_gamma","TRUE","iid, iid","01_1","sigma_E","0.0057404835472014","3.83609620700388","0","Inf"
